2022-02-08 21:04:42,976 INFO com.SprintTask5Application [restartedMain] Starting SprintTask5Application using Java 15.0.2 on DESKTOP-NGM996T with PID 15932 (C:\Users\mahes\git\repository\Task5\SprintTask5\bin\main started by mahes in C:\Users\mahes\git\repository\Task5\SprintTask5)
2022-02-08 21:04:43,096 INFO com.SprintTask5Application [restartedMain] No active profile set, falling back to default profiles: default
2022-02-08 21:04:43,382 INFO org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor [restartedMain] Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-02-08 21:04:43,384 INFO org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor [restartedMain] For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-02-08 21:04:49,292 INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate [restartedMain] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-02-08 21:04:49,945 INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate [restartedMain] Finished Spring Data repository scanning in 621 ms. Found 1 JPA repository interfaces.
2022-02-08 21:04:52,108 INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer [restartedMain] Tomcat initialized with port(s): 8080 (http)
2022-02-08 21:04:52,137 INFO org.apache.coyote.http11.Http11NioProtocol [restartedMain] Initializing ProtocolHandler ["http-nio-8080"]
2022-02-08 21:04:52,139 INFO org.apache.catalina.core.StandardService [restartedMain] Starting service [Tomcat]
2022-02-08 21:04:52,140 INFO org.apache.catalina.core.StandardEngine [restartedMain] Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-02-08 21:04:52,592 INFO org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [restartedMain] Initializing Spring embedded WebApplicationContext
2022-02-08 21:04:52,592 INFO org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext [restartedMain] Root WebApplicationContext: initialization completed in 9205 ms
